,age,education,balance,day,month,duration,campaign,pdays,previous,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_nan,contact_telephone,contact_nan,poutcome_other,poutcome_success,poutcome_nan,marital_married,marital_single,default_yes,housing_yes,loan_yes,subscribed_yes,total_contact
0,32.0,0.6666666666666666,392,1,3,957,0.6931471805599453,131,0.6931471805599453,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,0.9255807787812478
1,39.0,0.3333333333333333,688,1,3,233,0.6931471805599453,133,0.4054651081081644,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,0.7839015438284094
2,59.0,0.3333333333333333,1035,1,3,126,0.6931471805599453,239,0.4054651081081644,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,0.7839015438284094
3,47.0,0.3333333333333333,398,1,3,274,0.0,238,0.6931471805599453,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,0.7839015438284094
4,54.0,0.3333333333333333,1004,1,3,479,0.0,307,0.4054651081081644,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0.618782765271083
5,46.0,0.6666666666666666,926,1,3,463,0.0,133,0.9162907318741551,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.9255807787812478
6,34.0,0.3333333333333333,1924,1,3,161,0.6931471805599453,253,0.4054651081081644,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,0.7839015438284094
7,45.0,0.3333333333333333,396,1,3,251,1.3862943611198906,329,1.0986122886681098,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,1.3498032525374755
8,58.0,0.6666666666666666,315,1,3,121,0.6931471805599453,135,0.6931471805599453,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.9255807787812478
9,49.0,0.6666666666666666,20727,1,3,285,1.0986122886681098,132,0.6931471805599453,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0496554439415786
10,38.0,0.3333333333333333,715,2,3,951,0.0,132,0.9162907318741551,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,0.9255807787812478
11,49.0,0.3333333333333333,182,2,3,303,0.0,331,0.6931471805599453,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0.7839015438284094
12,36.0,0.3333333333333333,4613,2,3,320,0.0,134,0.6931471805599453,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,0.7839015438284094
13,39.0,0.3333333333333333,508,2,3,598,0.6931471805599453,135,1.252762968495368,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,1.2594075112140366
14,48.0,0.3333333333333333,0,2,3,146,0.0,267,0.4054651081081644,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0.618782765271083
15,38.0,0.3333333333333333,0,2,3,477,0.6931471805599453,267,0.4054651081081644,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0.7839015438284094
16,46.0,0.3333333333333333,-30,2,3,164,0.0,300,0.6931471805599453,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,0.7839015438284094
17,35.0,0.6666666666666666,560,2,3,58,0.0,136,0.4054651081081644,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0.618782765271083
18,58.0,0.3333333333333333,1,2,3,333,0.0,64,0.6931471805599453,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,0.7839015438284094
19,35.0,0.6666666666666666,4348,2,3,1074,1.0986122886681098,217,1.6094379124341003,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1.5803523315390038
